KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
20170115,STATEN ISLAND,10314,06/04/2020,06/17/2020,0,0.021
20169747,STATEN ISLAND,10312,06/05/2020,06/09/2020,4,0.237
20170010,QUEENS,11378,06/05/2020,06/11/2020,8,0.109
20169703,STATEN ISLAND,10309,06/05/2020,06/10/2020,0,0.118
20169840,STATEN ISLAND,10306,06/05/2020,06/09/2020,0,0.155
20170158,QUEENS,11378,06/05/2020,06/08/2020,3,0.107
20169764,BROOKLYN,11220,06/05/2020,06/08/2020,4,0.088
20170132,STATEN ISLAND,10309,06/05/2020,06/08/2020,0,0.06
20170066,QUEENS,11414,06/05/2020,06/08/2020,0,0.127
20169842,QUEENS,11432,06/05/2020,06/08/2020,2,0.071
20170160,QUEENS,11423,06/05/2020,06/09/2020,3,0.093
20169965,QUEENS,11419,06/05/2020,06/08/2020,0,0.104
20169790,QUEENS,11432,06/05/2020,06/08/2020,0,0.123
20169757,BROOKLYN,11215,06/05/2020,06/08/2020,8,0.11
20169936,STATEN ISLAND,10312,06/05/2020,06/09/2020,0,0.095
20169802,STATEN ISLAND,10309,06/05/2020,06/08/2020,0,0.053
20169720,QUEENS,11375,06/05/2020,06/09/2020,0,0.073
20170153,QUEENS,11354,06/05/2020,06/08/2020,2,0.062
20169743,STATEN ISLAND,10312,06/05/2020,06/08/2020,4,0.222
20169923,STATEN ISLAND,10306,06/05/2020,06/08/2020,0,0.132
20169835,STATEN ISLAND,10314,06/05/2020,06/09/2020,0,0.071
20170155,QUEENS,11375,06/05/2020,06/10/2020,5,0.146
20170102,BROOKLYN,11234,06/05/2020,06/08/2020,16,0.129
20169792,STATEN ISLAND,10314,06/05/2020,06/08/2020,0,0.153
20169742,STATEN ISLAND,10312,06/05/2020,06/09/2020,0,0.138
20169750,STATEN ISLAND,10309,06/05/2020,06/08/2020,0,0.166
20170071,QUEENS,11420,06/05/2020,06/08/2020,3,0.174
20169914,QUEENS,11432,06/05/2020,06/09/2020,6,0.215
20169863,QUEENS,11358,06/05/2020,06/09/2020,24,0.103
20169817,QUEENS,11375,06/05/2020,06/08/2020,5,0.118
20169861,QUEENS,11432,06/05/2020,06/08/2020,1,0.064
20170175,STATEN ISLAND,10306,06/05/2020,06/08/2020,2,0.15
20169903,QUEENS,11373,06/05/2020,06/15/2020,37,0.193
20169926,STATEN ISLAND,10306,06/06/2020,06/11/2020,0,0.169
20170020,STATEN ISLAND,10314,06/06/2020,06/11/2020,0,0.131
20170120,STATEN ISLAND,10306,06/06/2020,06/09/2020,0,0.228
20169933,STATEN ISLAND,10312,06/06/2020,06/10/2020,2,0.173
20169797,STATEN ISLAND,10309,06/06/2020,06/11/2020,0,0.13
20169746,STATEN ISLAND,10314,06/06/2020,06/11/2020,0,0.139
20169964,QUEENS,11418,06/06/2020,06/09/2020,2,0.022
20169841,QUEENS,11363,06/06/2020,06/09/2020,8,0.126
20169959,QUEENS,11361,06/06/2020,06/09/2020,44,0.104
20169934,STATEN ISLAND,10307,06/06/2020,06/12/2020,2,0.182
20169929,STATEN ISLAND,10308,06/06/2020,06/12/2020,2,0.122
20169696,STATEN ISLAND,10306,06/06/2020,06/11/2020,2,0.139
20170127,STATEN ISLAND,10309,06/06/2020,06/09/2020,0,0.092
