Kit ID,Borough,Zipcode,Date Collected,Date Received,Lead First_Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
13220181,NEW YORK,10128,01/01/2014,01/08/2014,0,0,,0.051,0.095,
13300298,BROOKLYN,11205,01/01/2014,01/08/2014,0,0,0,0.224,0.056,0
13300297,BROOKLYN,11205,01/01/2014,01/08/2014,0,0,0,0.279,0.24,0.129
13219471,NEW YORK,10028,01/01/2014,01/07/2014,0.007,0,,0.128,0.017,
11211471,LONG ISLAND CITY,11101,01/01/2014,01/07/2014,0,0,,0.189,0.063,
13220422,WOODSIDE,11377,01/02/2014,01/08/2014,0.008,0.001,,0.23,0.108,
13220478,BROOKLYN,11249,01/02/2014,01/14/2014,0,0,,0.073,0.013,
13220421,NEW YORK,10024,01/02/2014,01/07/2014,0.003,0.006,,0.112,0.218,
13220351,NEW YORK,10065,01/03/2014,01/10/2014,0,0,,0.139,0.03,
13220367,BROOKLYN,11201,01/04/2014,01/08/2014,0.003,0,,0.121,0.037,
13220506,NEW YORK,10021,01/04/2014,01/13/2014,0.004,0,,0.144,0.026,
13220509,BROOKLYN,11205,01/04/2014,01/13/2014,0,0,,0.242,0.23,
13220322,BROOKLYN,11205,01/05/2014,01/08/2014,0.006,0,,0.139,0.021,
13220510,BROOKLYN,11223,01/05/2014,01/17/2014,0,0,,0.126,0.065,
13220396,NEW YORK,10025,01/05/2014,01/14/2014,0.001,0,,0.105,0.035,
13220455,BROOKLYN,11215,01/06/2014,01/14/2014,0.085,0.012,,0.171,0.077,
13219888,WOODSIDE,11377,01/06/2014,01/10/2014,0.007,0.001,,0.218,0.14,
13220500,BROOKLYN,11249,01/06/2014,01/14/2014,0,0,,0.045,0.019,
13220475,NEW YORK,10009,01/06/2014,01/10/2014,0,0,,0.125,0.032,
13220466,BROOKLYN,11201,01/07/2014,01/14/2014,0.002,0,,0.119,0.019,
14220530,BROOKLYN,11230,01/08/2014,01/14/2014,0.002,0,,0.147,0.019,
13220443,FRESH MEADOWS,11365,01/08/2014,01/10/2014,0,0,,0.166,0.066,
13220495,FOREST HILLS,11375,01/08/2014,01/14/2014,0.008,0.036,,0.206,0.034,
14220534,BROOKLYN,11233,01/08/2014,01/16/2014,0,0,,0.108,0.044,
13220308,NEW YORK,10128,01/09/2014,01/14/2014,0.002,0.001,,0.091,0.03,
